n_cell_types,n_genes,n_cells,exp_num,method,time
3,20000,5000,exp_03,Voom,202.7029999999977
3,20000,5000,exp_03,MAST,2964.7400000000052
3,20000,5000,exp_03,DD,147.32800000000134
3,20000,5000,exp_03,Limma,32.388999999999214
3,20000,5000,exp_03,Wilcox,1864.6809999999969
3,20000,5000,exp_03,Ttest,49.78700000000026
3,20000,5000,exp_03,M3Drop,249.15599999999904
3,20000,5000,exp_03,edgeR,4332.172999999999
3,20000,5000,exp_03,LR,4120.43
3,20000,5000,exp_03,bimod,4581.407999999999
3,20000,5000,exp_03,ROC,7056.972000000002
3,20000,5000,exp_04,Cepo,5.456000000000131
3,20000,5000,exp_04,Cepo1000,5590.023999999999
3,20000,5000,exp_04,Voom,197.4509999999973
3,20000,5000,exp_04,MAST,2944.726999999999
3,20000,5000,exp_04,DD,135.88500000000204
3,20000,5000,exp_04,Limma,30.343000000000757
3,20000,5000,exp_04,Wilcox,1799.0570000000007
3,20000,5000,exp_04,Ttest,42.12899999999718
3,20000,5000,exp_04,M3Drop,225.71099999999933
3,20000,5000,exp_04,edgeR,4316.48
3,20000,5000,exp_04,LR,3896.9629999999997
3,20000,5000,exp_04,bimod,4433.107
3,20000,5000,exp_04,ROC,6826.289000000001
3,20000,5000,exp_05,Cepo,5.543999999999869
3,20000,5000,exp_05,Cepo1000,5553.107
3,20000,5000,exp_05,Voom,212.65399999999863
3,20000,5000,exp_05,MAST,2807.5020000000004
3,20000,5000,exp_05,DD,144.62199999999575
3,20000,5000,exp_05,Limma,30.69999999999709
3,20000,5000,exp_05,Wilcox,1816.4749999999985
3,20000,5000,exp_05,Ttest,51.79000000000087
3,20000,5000,exp_05,M3Drop,260.27800000000207
3,20000,5000,exp_05,edgeR,4347.798999999999
3,20000,5000,exp_05,LR,3966.619999999999
3,20000,5000,exp_05,bimod,4220.480000000003
3,20000,5000,exp_05,ROC,6318.215999999997
3,20000,5000,exp_06,Cepo,5.629000000000815
3,20000,5000,exp_06,Cepo1000,5652.987999999999
3,20000,5000,exp_06,Voom,202.8090000000011
3,20000,5000,exp_06,MAST,3056.851999999999
3,20000,5000,exp_06,DD,139.55200000000332
3,20000,5000,exp_06,Limma,30.524999999997817
3,20000,5000,exp_06,Wilcox,1838.8809999999976
3,20000,5000,exp_06,Ttest,46.284999999999854
3,20000,5000,exp_06,M3Drop,239.37000000000262
3,20000,5000,exp_06,edgeR,4380.845000000001
3,20000,5000,exp_06,LR,3836.2000000000007
3,20000,5000,exp_06,bimod,4304.677
3,20000,5000,exp_06,ROC,6668.973999999998
3,20000,5000,exp_07,Cepo,5.743000000000393
3,20000,5000,exp_07,Cepo1000,5558.876
3,20000,5000,exp_07,Voom,209.98999999999796
3,20000,5000,exp_07,MAST,2735.928
3,20000,5000,exp_07,DD,153.64199999999983
3,20000,5000,exp_07,Limma,32.086999999999534
3,20000,5000,exp_07,Wilcox,1823.224000000002
3,20000,5000,exp_07,Ttest,47.87800000000061
3,20000,5000,exp_07,M3Drop,237.625
3,20000,5000,exp_07,edgeR,4309.537
3,20000,5000,exp_07,LR,4324.059000000001
3,20000,5000,exp_07,bimod,5488.294000000002
3,20000,5000,exp_07,ROC,6925.674999999996
3,20000,5000,exp_08,Cepo,5.6270000000004075
3,20000,5000,exp_08,Cepo1000,5524.160000000002
3,20000,5000,exp_08,Voom,210.0580000000009
3,20000,5000,exp_08,MAST,2839.9500000000044
3,20000,5000,exp_08,DD,143.32600000000093
3,20000,5000,exp_08,Limma,34.00300000000061
3,20000,5000,exp_08,Wilcox,1831.0699999999997
3,20000,5000,exp_08,Ttest,45.32599999999729
3,20000,5000,exp_08,M3Drop,234.8719999999994
3,20000,5000,exp_08,edgeR,4442.238999999998
3,20000,5000,exp_08,LR,4086.153000000002
3,20000,5000,exp_08,bimod,4997.486000000001
3,20000,5000,exp_08,ROC,7068.548999999999
3,20000,5000,exp_09,Cepo,5.429000000000087
3,20000,5000,exp_09,Cepo1000,5495.812000000002
3,20000,5000,exp_09,Voom,212.61999999999898
3,20000,5000,exp_09,MAST,3207.0639999999985
3,20000,5000,exp_09,DD,155.78899999999703
3,20000,5000,exp_09,Limma,34.8849999999984
3,20000,5000,exp_09,Wilcox,1770.719000000001
3,20000,5000,exp_09,Ttest,46.283000000003085
3,20000,5000,exp_09,M3Drop,235.24199999999837
3,20000,5000,exp_09,edgeR,4367.399999999998
3,20000,5000,exp_09,LR,3467.5730000000003
3,20000,5000,exp_09,bimod,3426.4760000000024
3,20000,5000,exp_09,ROC,5944.825000000001
3,20000,5000,exp_10,Cepo,5.673000000000684
3,20000,5000,exp_10,Cepo1000,5641
3,20000,5000,exp_10,Voom,201.237000000001
3,20000,5000,exp_10,MAST,2706.4630000000034
3,20000,5000,exp_10,DD,136.30200000000332
3,20000,5000,exp_10,Limma,31.72899999999936
3,20000,5000,exp_10,Wilcox,1816.8739999999998
3,20000,5000,exp_10,Ttest,44.373999999999796
3,20000,5000,exp_10,M3Drop,238.85099999999875
3,20000,5000,exp_10,edgeR,4352.341
3,20000,5000,exp_10,LR,4269.856
3,20000,5000,exp_10,bimod,4558.460999999999
3,20000,5000,exp_10,ROC,7147.051000000007
3,20000,10000,exp_01,Cepo,12.357000000003609
3,20000,10000,exp_01,Cepo1000,12747.445
3,20000,10000,exp_01,Voom,481.150999999998
3,20000,10000,exp_01,MAST,4934.847999999998
3,20000,10000,exp_01,DD,242.06200000000536
3,20000,10000,exp_01,Limma,66.61700000000565
3,20000,10000,exp_01,Wilcox,3575.7969999999987
3,20000,10000,exp_01,Ttest,69.69799999999668
3,20000,10000,exp_01,M3Drop,429.1689999999944
3,20000,10000,exp_01,edgeR,11225.86800000001
3,20000,10000,exp_01,LR,9528.807
3,20000,10000,exp_01,bimod,10438.154999999999
3,20000,10000,exp_01,ROC,15568.877999999997
3,20000,10000,exp_02,Cepo,12.907999999995809
3,20000,10000,exp_02,Cepo1000,13013.972999999998
3,20000,10000,exp_02,Voom,436.46800000000076
3,20000,10000,exp_02,MAST,5820.110000000001
3,20000,10000,exp_02,DD,252.21199999999953
3,20000,10000,exp_02,Limma,66.9629999999961
3,20000,10000,exp_02,Wilcox,3584.6619999999966
3,20000,10000,exp_02,Ttest,68.73999999999796
3,20000,10000,exp_02,M3Drop,424.7189999999973
3,20000,10000,exp_02,edgeR,11211.940000000002
3,20000,10000,exp_02,LR,8413.373999999996
3,20000,10000,exp_02,bimod,9412.623000000007
3,20000,10000,exp_02,ROC,13478.312000000005
3,20000,10000,exp_03,Cepo,12.898000000001048
3,20000,10000,exp_03,Cepo1000,13003.086000000003
3,20000,10000,exp_03,Voom,424.11300000000483
3,20000,10000,exp_03,MAST,5614.683999999994
3,20000,10000,exp_03,DD,275.54899999999907
3,20000,10000,exp_03,Limma,64.70100000000093
3,20000,10000,exp_03,Wilcox,3652.448000000004
3,20000,10000,exp_03,Ttest,76.0679999999993
3,20000,10000,exp_03,M3Drop,428.64100000000326
3,20000,10000,exp_03,edgeR,11291.171000000002
3,20000,10000,exp_03,LR,9607.755000000005
3,20000,10000,exp_03,bimod,9616.078999999998
3,20000,10000,exp_03,ROC,14214.748999999996
3,20000,10000,exp_04,Cepo,12.96799999999348
3,20000,10000,exp_04,Cepo1000,13003.5
3,20000,10000,exp_04,Voom,479.95100000000093
3,20000,10000,exp_04,MAST,4695.305999999997
3,20000,10000,exp_04,DD,224.4149999999936
3,20000,10000,exp_04,Limma,61.64800000000105
3,20000,10000,exp_04,Wilcox,3606.5930000000008
3,20000,10000,exp_04,Ttest,75.48500000000058
3,20000,10000,exp_04,M3Drop,419.3329999999987
3,20000,10000,exp_04,edgeR,11120.512999999999
3,20000,10000,exp_04,LR,11146.943
3,20000,10000,exp_04,bimod,10475.812000000005
3,20000,10000,exp_04,ROC,14810.797999999995
3,20000,10000,exp_05,Cepo,12.110999999997148
3,20000,10000,exp_05,Cepo1000,12462.68
3,20000,10000,exp_05,Voom,447.20900000000256
3,20000,10000,exp_05,MAST,6125.5669999999955
3,20000,10000,exp_05,DD,274.59599999999045
3,20000,10000,exp_05,Limma,67.56999999999971
3,20000,10000,exp_05,Wilcox,3691.690999999999
3,20000,10000,exp_05,Ttest,75.39100000000326
3,20000,10000,exp_05,M3Drop,461.234000000004
3,20000,10000,exp_05,edgeR,11061.395000000004
3,20000,10000,exp_05,LR,9043.926999999996
3,20000,10000,exp_05,bimod,9674.452999999994
3,20000,10000,exp_05,ROC,15160.669999999998
3,20000,10000,exp_06,Cepo,13.038000000000466
3,20000,10000,exp_06,Cepo1000,13042.398999999998
3,20000,10000,exp_06,Voom,447.25300000000425
3,20000,10000,exp_06,MAST,6109.645999999993
3,20000,10000,exp_06,DD,318.89599999999336
3,20000,10000,exp_06,Limma,60.61899999999878
3,20000,10000,exp_06,Wilcox,3602.613999999994
3,20000,10000,exp_06,Ttest,75.5170000000071
3,20000,10000,exp_06,M3Drop,427.9889999999941
3,20000,10000,exp_06,edgeR,11213.490999999995
3,20000,10000,exp_06,LR,8310.062000000005
3,20000,10000,exp_06,bimod,7987.858000000007
3,20000,10000,exp_06,ROC,12834.967000000004
3,20000,10000,exp_07,Cepo,12.739999999997963
3,20000,10000,exp_07,Cepo1000,12705.561000000002
3,20000,10000,exp_07,Voom,500.82100000000355
3,20000,10000,exp_07,MAST,5083.672999999995
3,20000,10000,exp_07,DD,244.58299999999872
3,20000,10000,exp_07,Limma,68.44000000000233
3,20000,10000,exp_07,Wilcox,3685.648000000001
3,20000,10000,exp_07,Ttest,79.45600000000559
3,20000,10000,exp_07,M3Drop,463.1070000000036
3,20000,10000,exp_07,edgeR,11328.469000000005
3,20000,10000,exp_07,LR,11245.004
3,20000,10000,exp_07,bimod,9555.616999999998
3,20000,10000,exp_07,ROC,15952.679000000004
3,20000,10000,exp_08,Cepo,13.029999999998836
3,20000,10000,exp_08,Cepo1000,13030.787000000004
3,20000,10000,exp_08,Voom,440.7560000000012
3,20000,10000,exp_08,MAST,5092.243000000002
3,20000,10000,exp_08,DD,248.62700000000768
3,20000,10000,exp_08,Limma,64.36900000000605
3,20000,10000,exp_08,Wilcox,3703.091999999997
3,20000,10000,exp_08,Ttest,83.0370000000039
3,20000,10000,exp_08,M3Drop,459.4470000000001
3,20000,10000,exp_08,edgeR,11317.931999999993
3,20000,10000,exp_08,LR,10873.41799999999
3,20000,10000,exp_08,bimod,9741.960999999996
3,20000,10000,exp_08,ROC,15886.667000000001
3,20000,10000,exp_09,Cepo,12.461000000002969
3,20000,10000,exp_09,Cepo1000,12724.724999999999
3,20000,10000,exp_09,Voom,418.34100000000035
3,20000,10000,exp_09,MAST,4808.796000000002
3,20000,10000,exp_09,DD,249.29899999999907
3,20000,10000,exp_09,Limma,61.822000000000116
3,20000,10000,exp_09,Wilcox,3578.5970000000016
3,20000,10000,exp_09,Ttest,76.1909999999989
3,20000,10000,exp_09,M3Drop,426.8249999999971
3,20000,10000,exp_09,edgeR,10893.55999999999
3,20000,10000,exp_09,LR,9495.285000000003
3,20000,10000,exp_09,bimod,11365.599000000002
3,20000,10000,exp_09,ROC,15747.92300000001
3,20000,10000,exp_10,Cepo,12.235000000000582
